Enquête,Caractéristiques,Population disposant d'électricité
2018 DHS,Région : Yaoundé/Douala,99.2
2018 DHS,Région : Adamaoua/Nord/Extrême-Nord,99.2
2018 DHS,Région : Ouest/Littoral,25
2018 DHS,Région : Nord-Ouest/Sud-Ouest,43.3
2018 DHS,Région : ..Nord,27.5
2018 DHS,Région : ..Extrême-Nord,17.9
2018 DHS,Région : Centre/Sud/Est,99.2
2018 DHS,Région : ..Centre,56.2
2018 DHS,Région : ..Sud,65.6
2018 DHS,Région : ..Est,42.4
2018 DHS,Région : ..Ouest,79.4
2018 DHS,Région : ..Littoral,84.4
2018 DHS,Région : Nord Ouest/Sud Ouest,65.9
2018 DHS,Région : ..Nord Ouest,56.5
2018 DHS,Région : ..Sud Ouest,98.4
2011 DHS,Région : Yaoundé/Douala,98.5
2011 DHS,Région : Adamaoua/Nord/Extrême-Nord,99.1
2011 DHS,Région : Ouest/Littoral,22
2011 DHS,Région : Nord-Ouest/Sud-Ouest,44.1
2011 DHS,Région : ..Nord,26.4
2011 DHS,Région : ..Extrême-Nord,14
2011 DHS,Région : Centre/Sud/Est,97.7
2011 DHS,Région : ..Centre,59.7
2011 DHS,Région : ..Sud,63
2011 DHS,Région : ..Est,46.4
2011 DHS,Région : ..Ouest,59
2011 DHS,Région : ..Littoral,74.4
2011 DHS,Région : Nord Ouest/Sud Ouest,48.7
2011 DHS,Région : ..Nord Ouest,44.2
2011 DHS,Région : ..Sud Ouest,54.5
2004 DHS,Région : Yaoundé/Douala,97
2004 DHS,Région : Adamaoua/Nord/Extrême-Nord,96.9
2004 DHS,Région : Ouest/Littoral,18.1
2004 DHS,Région : Nord-Ouest/Sud-Ouest,34.2
2004 DHS,Région : ..Nord,14.4
2004 DHS,Région : ..Extrême-Nord,16.4
2004 DHS,Région : Centre/Sud/Est,97.1
2004 DHS,Région : ..Centre,48.5
2004 DHS,Région : ..Sud,60.1
2004 DHS,Région : ..Est,37.9
2004 DHS,Région : ..Ouest,47.8
2004 DHS,Région : ..Littoral,61.7
2004 DHS,Région : Nord Ouest/Sud Ouest,39
2004 DHS,Région : ..Nord Ouest,27.7
2004 DHS,Région : ..Sud Ouest,57.8
1998 DHS,Région : Yaoundé/Douala,96.2
1998 DHS,Région : Ouest/Littoral,18.9
1998 DHS,Région : Centre/Sud/Est,33.4
1998 DHS,Région : Nord Ouest/Sud Ouest,48.5
1991 DHS,Région : Yaoundé/Douala,88.1
1991 DHS,Région : Ouest/Littoral,18.5
1991 DHS,Région : Centre/Sud/Est,23.6
1991 DHS,Région : Nord Ouest/Sud Ouest,23.7
